SPX_DATE,SPX_HIGH,SPX_LOW,SPX_OPEN,SPX_CLOSE,VIX
1/2/1996,620.74,613.17,615.93,620.73,12.19
1/3/1996,623.25,619.56,620.73,621.32,12.1
1/4/1996,624.49,613.96,621.32,617.7,13.78
1/5/1996,617.7,612.02,617.7,616.71,13.58
1/8/1996,618.46,616.49,616.71,618.46,13.11
1/9/1996,619.15,608.21,618.46,609.45,15.21
1/10/1996,609.45,597.29,609.45,598.48,16.4
1/11/1996,602.71,597.54,598.48,602.69,14.69
1/12/1996,604.8,597.46,602.69,601.81,14.23
1/15/1996,603.43,598.47,601.81,599.82,14.99
1/16/1996,608.44,599.05,599.82,608.44,14.09
1/17/1996,609.93,604.7,608.44,606.37,14.25
1/18/1996,608.27,604.12,606.37,608.24,13.58
1/19/1996,612.92,606.76,608.24,611.83,12.7
1/22/1996,613.45,610.95,611.83,613.4,13.34
1/23/1996,613.4,610.65,613.4,612.79,13.56
1/24/1996,619.96,612.79,612.79,619.96,12.54
1/25/1996,620.15,616.62,619.96,617.03,12.94
1/26/1996,621.7,615.26,617.03,621.62,12
1/29/1996,624.22,621.42,621.62,624.22,12.19
1/30/1996,630.29,624.22,624.22,630.15,12.42
1/31/1996,636.18,629.48,630.15,636.02,12.53
2/1/1996,638.46,634.54,636.02,638.46,12.65
2/2/1996,639.26,634.29,638.46,635.84,13.23
2/5/1996,641.43,633.71,635.84,641.43,13.46
2/6/1996,646.67,639.68,641.43,646.33,14.59
2/7/1996,649.93,645.59,646.33,649.93,14.11
2/8/1996,656.54,647.93,649.93,656.07,13.89
2/9/1996,661.08,653.64,656.07,656.37,14.63
2/12/1996,662.95,656.34,656.37,661.45,14.69
2/13/1996,664.23,657.92,661.45,660.51,14.94
2/14/1996,661.53,654.36,660.51,655.58,15.59
2/15/1996,656.84,651.15,655.58,651.32,16.13
2/16/1996,651.42,646.99,651.32,647.98,15.37
2/20/1996,647.98,638.79,647.98,640.65,16.8
2/21/1996,648.11,640.65,640.65,648.1,14.47
2/22/1996,659.75,648.1,648.1,658.86,14.56
2/23/1996,663,652.25,658.86,659.08,14.78
2/26/1996,659.08,650.16,659.08,650.46,16.38
2/27/1996,650.62,643.87,650.46,647.24,16.63
2/28/1996,654.39,643.99,647.24,644.75,16.72
2/29/1996,646.95,639.01,644.75,640.43,17.04
3/1/1996,644.38,635,640.43,644.37,16.72
3/4/1996,653.54,644.37,644.37,650.81,16.67
3/5/1996,655.8,648.77,650.81,655.79,16.1
3/6/1996,656.97,651.61,655.79,652,16.56
3/7/1996,653.65,649.54,652,653.65,16.49
3/8/1996,653.65,627.63,653.65,633.5,20.7
3/11/1996,640.41,629.95,633.5,640.02,19.4
3/12/1996,640.02,628.82,640.02,637.09,19.09
3/13/1996,640.52,635.19,637.09,638.55,18.13
3/14/1996,644.17,638.55,638.55,640.87,16.93
3/15/1996,642.87,638.35,640.87,641.43,16.54
3/18/1996,652.65,641.43,641.43,652.65,17.31
3/19/1996,656.18,649.8,652.65,651.69,18.35
3/20/1996,653.13,645.57,651.69,649.98,18.66
3/21/1996,651.54,648.1,649.98,649.19,17.74
3/22/1996,652.08,649.19,649.19,650.62,17.05
3/25/1996,655.5,648.82,650.62,650.04,17.84
3/26/1996,654.31,648.15,650.04,652.97,17.8
3/27/1996,653.94,647.6,652.97,648.91,17.89
3/28/1996,649.58,646.36,648.91,648.94,18.16
3/29/1996,650.96,644.89,648.94,645.5,18.88
4/1/1996,653.87,645.5,645.5,653.73,17.9
